Paper ID,Key,Query ID,Database,Paper Title,Source / DOI,Abstract Reviewed,Full Text Reviewed,Included,Exclusion Reason,Category
P13,,2,Google Scholar,AI-Powered Anti-Money Laundering (AML) and fraud detection-enhancing financial security through intelligent fraud detection,https://www.researchgate.net/profile/Osarense-Iguodala/publication/392235964_AI-Powered_Anti-Money_Laundering_AML_and_fraud_detection_-_enhancing_financial_security_through_intelligent_fraud_detection/links/68810a9696f3c0122ef32b25/AI-Powered-Anti-Money-Laundering-AML-and-fraud-detection-enhancing-financial-security-through-intelligent-fraud-detection.pdf,FALSE,,,Duplicate,
P14,launderingexplainable,2,Google Scholar,Explainable Anti-Money Laundering,https://odr.chalmers.se/server/api/core/bitstreams/e8e8359e-3154-46f6-830f-0133bcd38d99/content,TRUE,,FALSE,No full text,AML + XAI
P15,kute2021deep,2,Google Scholar,Deep learning and explainable artificial intelligence techniques applied for detecting money laundering–a critical review,https://ieeexplore.ieee.org/abstract/document/9446887,TRUE,,TRUE,,AML + XAI
P16,,2,Scopus,Evidence ratio classifier: A one-pass model for fast incremental learning,https://www.scopus.com/pages/publications/105019232570?origin=resultslist,TRUE,,,Out of scope,
P17,,2,Scopus,"Acute Leukemia (LAML) and Artificial Intelligence: Pre-dictive Technologies for Prognosis, Recurrence and Re-sponse to Treatment",https://www.scopus.com/pages/publications/105018906761?origin=resultslist,TRUE,,,Out of scope,
P18,,2,Scopus,"Sustainable valorization of biomass residue for remediations of dispersive clays: Integrating environmental, geotechnical, and circular economy perspectives",https://www.scopus.com/pages/publications/105015539091?origin=resultslist,TRUE,,,Out of scope,
P19,,2,Scopus,A study on anti-money laundering regulation in e-CNY cross-border payments,https://www.scopus.com/pages/publications/105020698224?origin=resultslist,TRUE,,,Out of scope,
P20,,2,Scopus,Clinical decision system for chronic kidney disease staging using machine learning,https://www.scopus.com/pages/publications/105010739361?origin=resultslist,TRUE,,,Out of scope,
P21,,3,Google Scholar,Enhancing anti-money laundering: Development of a synthetic transaction monitoring dataset,https://ieeexplore.ieee.org/abstract/document/10356193,TRUE,,,No full text,
P22,jensen2023synthetic,3,Google Scholar,A synthetic data set to benchmark anti-money laundering methods,https://www.nature.com/articles/s41597-023-02569-2,TRUE,,TRUE,,AML + ML
P23,altman2023realistic,3,Google Scholar,Realistic synthetic financial transactions for anti-money laundering models,https://proceedings.neurips.cc/paper_files/paper/2023/hash/5f38404edff6f3f642d6fa5892479c42-Abstract-Datasets_and_Benchmarks.html,TRUE,,TRUE,,AML + ML
P24,,3,Google Scholar,Network Analytics for Anti-money Laundering—A Systematic Literature Review and Experimental Evaluation,https://pubsonline.informs.org/doi/abs/10.1287/ijds.2024.0042,TRUE,,,No full text,AML + ML
P25,,3,Google Scholar,Anti-money laundering supervision by intelligent algorithm,https://www.sciencedirect.com/science/article/pii/S0167404823002547,,,,Duplicate,
P26,,3,Scopus,Segmentation domain adaptation for enhanced white blood cell classification using spatial co-occurrence feature embedding,https://www.scopus.com/pages/publications/105013673609?origin=resultslist,TRUE,,,Out of scope,
P27,,3,Scopus,ETTracker: A fund tracking framework for anti-money laundering on Ethereum,https://www.scopus.com/pages/publications/105010183382?origin=resultslist,TRUE,,,Out of scope,AML + ML
P28,,3,Scopus,Classification of Anti-money Laundering Schemes in Blockchain Networks via Graph Convolution Neural Network Based Hybrids,https://www.scopus.com/pages/publications/105020198857?origin=resultslist,TRUE,,,Out of scope,AML + ML
P29,,3,Scopus,Evidence ratio classifier: A one-pass model for fast incremental learning,https://www.scopus.com/pages/publications/105019232570?origin=resultslist,,,,Duplicate,
P30,,3,Scopus,"Acute Leukemia (LAML) and Artificial Intelligence: Pre-dictive Technologies for Prognosis, Recurrence and Re-sponse to Treatment",https://www.scopus.com/pages/publications/105018906761?origin=resultslist,,,,Duplicate,
P31,zytek2024llms,4,Google Scholar,Llms for xai: Future directions for explaining explanations,https://arxiv.org/abs/2405.06064,TRUE,,TRUE,,XAI + LLM
P32,,4,Google Scholar,Enhancing machine learning model interpretability in intrusion detection systems through shap explanations and llm-generated descriptions,https://ieeexplore.ieee.org/abstract/document/10541168,TRUE,,,Out of scope,
P33,mumuni2025explainable,4,Google Scholar,Explainable artificial intelligence (XAI): from inherent explainability to large language models,https://arxiv.org/abs/2501.09967,TRUE,,TRUE,,XAI + LLM
P34,cambria2024xai,4,Google Scholar,Xai meets llms: A survey of the relation between explainable ai and large language models,https://arxiv.org/abs/2407.15248,TRUE,,TRUE,,XAI + LLM
P35,kroeger2024are,4,Google Scholar,Are large language models post hoc explainers?,https://openreview.net/forum?id=MOtZlKkvdz,TRUE,,TRUE,,XAI + LLM
P36,,4,Scopus,Transforming legal texts into computational logic: Enhancing next generation public sector automation through explainable AI decision support,https://www.scopus.com/pages/publications/105014807874?origin=resultslist,TRUE,,,Out of scope,
P37,,4,Scopus,Enhancing network security using knowledge graphs and large language models for explainable threat detection,https://www.scopus.com/pages/publications/105019744461?origin=resultslist,TRUE,,,Out of scope,
P38,,4,Scopus,Eliminate-Then-Select: A human-centric reasoning framework for educational question answering with LLMs,https://www.scopus.com/pages/publications/105017973715?origin=resultslist,TRUE,,,Out of scope,
P39,,4,Scopus,Mind the XAI Gap: A Human-Centered LLM Framework for Democratizing Explainable AI,https://www.scopus.com/pages/publications/105020702975?origin=resultslist,TRUE,,,Out of scope,XAI + LLM
P40,soyarar2025llm,4,Scopus,LLM-Based Evaluation Methodology of Explanation Strategies,https://www.scopus.com/pages/publications/105020015162?origin=resultslist,TRUE,,TRUE,,XAI + LLM
P41,,5,Google Scholar,Large Language Model XAI approach for illicit activity Investigation in Bitcoin,https://link.springer.com/article/10.1007/s00521-024-10510-w,TRUE,,,Out of scope,AML + LLM
P42,,5,Google Scholar,Enhancing illicit activity detection using xai: A multimodal graph-llm framework,https://arxiv.org/abs/2310.13787,TRUE,,,Out of scope,AML + LLM
P43,hrishikesh2025fraud,5,Google Scholar,"Business Fraud Detection, Prevention, and Investigations With Conversational AI",https://www.emerald.com/books/edited-volume/17055/chapter/94054970/Business-Fraud-Detection-Prevention-and,TRUE,,TRUE,,AML + LLM
P44,gerlings2025relevance,5,Google Scholar,The Relevance of Explainable Artificial Intelligence (xAI) in High-Risk Decisions,https://research.cbs.dk/en/publications/the-relevance-of-explainable-artificial-intelligence-xai-in-high-/,TRUE,,TRUE,,AML + XAI
P45,,5,Google Scholar,AI-Driven Reasoning Mechanism for Enhanced Detection of Illicit Money Flows,https://ieeexplore.ieee.org/abstract/document/11185663,TRUE,,,No full text,AML + LLM
P46,feustel2025evaluating,6,Google Scholar,Evaluating the Reliability of Large Language Model-Generated Explanations in Dialogue-Based XAI,https://ceur-ws.org/Vol-4061/paper1.pdf,TRUE,FALSE,TRUE,,XAI + LLM
P47,agarwal2024faithfulness,6,Google Scholar,Faithfulness vs. plausibility: On the (un) reliability of explanations from large language models,https://arxiv.org/abs/2402.04614,TRUE,FALSE,TRUE,,XAI + LLM
P48,,6,Google Scholar,Explainable artificial intelligence (XAI): from inherent explainability to large language models,https://arxiv.org/abs/2501.09967,TRUE,FALSE,FALSE,Duplicate,XAI + LLM
P49,,6,Google Scholar,Design and Evaluation Methods for LLM-Based Explainable AI (XAI)-Based Human-AI Collaboration Systems,https://oajaiml.com/uploads/archivepdf/430552340.pdf,TRUE,FALSE,FALSE,Redundant,XAI + LLM
P50,,6,Google Scholar,On measuring faithfulness or self-consistency of natural language explanations,-,TRUE,FALSE,FALSE,No full text,
P51,,6,Scopus,Eliminate-Then-Select: A human-centric reasoning framework for educational question answering with LLMs,https://www.scopus.com/pages/publications/105017973715?origin=resultslist,TRUE,FALSE,FALSE,Out of scope,XAI + LLM
P52,,6,Scopus,A Vision for Robust and Human-Centric LLM-Based QR Code Security,https://www.scopus.com/pages/publications/105021804555?origin=resultslist,TRUE,FALSE,FALSE,Out of scope,
P53,,6,Scopus,LLM-Based Evaluation Methodology of Explanation Strategies,https://www.scopus.com/pages/publications/105020015162?origin=resultslist,FALSE,FALSE,FALSE,Duplicate,XAI + LLM
P54,,6,Scopus,"3rd World Conference on Explainable Artificial Intelligence, xAI 2025",https://www.scopus.com/pages/publications/105020767358?origin=resultslist,TRUE,FALSE,FALSE,Out of scope,
P55,,6,Scopus,"3rd World Conference on Explainable Artificial Intelligence, xAI 2025",https://www.scopus.com/pages/publications/105020724613?origin=resultslist,FALSE,FALSE,FALSE,Duplicate,
